id,editorial,db_id
Ch861 N27v,Casa Editorial El Tiempo,1.0
C863 M24p,Ministerio de Cultura,2.0
104 M24c,Alcaldía Mayor de Bogotá,3.0
C864.1 M24p,Centro Editorial Universidad de Caldas,4.0
C867 S15L,El Áncora Editores,5.0
104.1 M67u,"Ediciones Orbis, S.A.",6.0
C864 M24c,-,7.0
833 M29g,"Edicomunicación, s.a.",8.0
463 C17d,Grupo Editorial Norma Educativa,9.0
920 G17g,Editora Cinco S.A.,10.0
387.7 B74t,Salvat S.A. de Ediciones,11.0
001 B56l,Editorial Diana,12.0
863 B26c,Editorial Planeta S.A.,13.0
863 A55m,Edilux Ediciones,14.0
823 S82d,Grupo Editorial Norma,15.0
834 N42h,Editorial Bedout S.A.,16.0
839.5 K13c,"Edicomunicación, S.A.",17.0
C861 Z17d2,Gobernación de Caldas. Centro deEscritores de Mzls,18.0
A860 V25m,Editorial Universidad de Caldas,19.0
C861 G65i…,Lyrica Species,20.0
833 M16e,"Editorial Hermes-Editorial Sudamericana, S.A.",21.0
539.1 D19d,"Salvat Editores, S.A.",22.0
C863 M17d,Editorial La Oveja Negra Ltda.,23.0
518.2 A68i,"Editorial Limusa, S.A.",24.0
517 L24c,Oxford University Press,25.0
C861 A71a,Fundación FICA,26.0
891.3 D68j,Periódicos Asociados Ltda.,27.0
508 G17i,"Salvat Editores, S.A. - Alianza Editorial, S.A.",28.0
C861 B27c,Editorial El Propio Peculio,29.0
Cu863 C17r,Editorial Oveja Negra,30.0
832 G62f,Ediciones Universales,31.0
523.1 S14c,Editorial Planeta,32.0
510 D26f,"McGraw-Hill Book Company, Inc.",33.0
510 P68m,"Editorial Ramón Sopena, S.A.",34.0
512 B15a,Editorial LM,35.0
514 H27t,Publicaciones Colseñora,36.0
530 A56i,Editorial Norma,37.0
546 V42q,Editorial Stella,38.0
133 B27t,"Editorial Pomaire, S.A.",39.0
193 E63l,Editorial La Oveja Negra,40.0
171.600 B67r,"Editorial Labor, S.A.",41.0
510.1 G68p,McGraw-Hill,42.0
517 G71c,Unión Tipográfica Editorial Hispano-Americana,43.0
530 G17f1,PIME Editores Ltda.,44.0
C864.236 M24m,Editorial Universidad de Antioquia,45.0
051 S24i,Publicaciones SENA - Cali,46.0
413.26 C18d,The University of Chicago,47.0
081 B67o,Emecé Editores,48.0
520.1 H19h,Editorial Grijalbo S.A.,49.0
Ch861 N27s,Círculo de Lectores,50.0
510.800 T13h,AEDO,51.0
058 G82m1,"Editorial Planeta-De Agostini, S.A.",52.0
A861 P49e,Ediciones Corregidor,53.0
841 B18f,Editorial la Oveja negra Ltda.,54.0
C861 S45o,Editoral Bedout S.A.,55.0
843 V65c,RBA Editores,56.0
853 V27c,Danilo Manera,57.0
851 B15s,"Danilo, Manera",58.0
851 G48v,Ediciones el Aguijón,59.0
863 G45m,Tusquets Editor,60.0
814 S66e,"Santillana Ediciones Generales, S.L.",61.0
102 S27m,"Tusquets Editores, S.A.",62.0
530.11 S27e,"Alianza Editorial, S.A.",63.0
539.1 D29f,Centro de Publicaciones Universidad Nal.-Manizales,64.0
829.3 J69d,"Editorial La OvejaNegraLtda-EditorialSeixBarral,SA",65.0
629.8 S31i,Prentice Hall,66.0
538 E46r,"Editorial Grijalbo, S.A.",67.0
A863 C67r,Suma de Letras. S.L.,68.0
813 A84c,"Suma de Letras, S.L.",69.0
531.1 S14i,Secretariado de Publicaciones - U de Valladolid,70.0
C861 G17v,Corporación Nacional de Poesía,71.0
530 S27f2,"McGraw-Hill/Interamericana Editores, S.A. de C.V.",72.0
891.3 C32n,Salvat Editores S.A.,73.0
142 R68c,"Editorial Espasa calpe, S.A.",74.0
C861 A71n,Ediciones Sociedad de la Imaginación,75.0
885 P51r,"Editorial Bedout, S.A.",76.0
839.3 K13c,Círculo de lectores,77.0
530 S19c1,Editorial MIR - Moscú,78.0
519 G65e,"Centro de Publicaciones U, Nacional, sedeManizales",79.0
161.4 B86c,Orion Editores Ltda.,80.0
C863 C14q,Editorial Victor Hugo,81.0
193 S13a,Editorial Cometa de Papel,82.0
834 N42a,Ediciones Esquilo,83.0
849.3 Y68m,Seix Barral,84.0
150.1 J86s,Fondo de Cultura Económica,85.0
523.1 S15e,Fondo de Cultura Económica S.A.,86.0
574.1 B63f,Editorial Mir Moscú,87.0
058 G82m3,"Mundo de la Aviación, El (Vol. 1)",88.0
518 B69e,"Editorial Limusa, S.A. de C.V.",89.0
A861 C67v,Compañía Editora Espasa Calpa,90.0
629 K22p,Centro de Publicaciones U.N. Manizales.,91.0
536 R62t,Editorial Síntesis,92.0
C863 M24d,Editorial la Oveja Negra Ltda.,93.0
539 G74i,"Prentice Hall, Inc.",94.0
514 M86t,Editora Guadalupe Ltda.,95.0
C861 V42n,Ediciones San Librario,96.0
869.3 S17m,"Suma de Letras, S. L.",97.0
895.3 N17c,"Ediciones Orbis, S. A.",98.0
438 B81d,Éditions Pro Schola,99.0
435 D88g,Editorial Herder,100.0
430 G74d,Max Hueber Verlag,101.0
438 G74c,Max Hueber Verlag München,102.0
355 L69a,Librería del Ejército,103.0
355 N69r,Imprenta y Publicaciones de las Fuerzas Armadas,104.0
937 S42q,Editorial Tor,105.0
843 V27d,Ediciones G. P. Barcelona,106.0
342 C66c,Imprenta Nacional,107.0
390 C67f,Instituto Colombiano de Cultura,108.0
813 F48g,"Plaza & Janés, S. A. Editores",109.0
539 D19e,"Alianza Editorial, S. A.",110.0
518 D26m,Harper International Edition,111.0
537 J11c,John Wiley & Sons Inc.,112.0
551 M13c,John Wiley & Sons Ltd,113.0
501 B63s,Routledge,114.0
539 B63q,Dover Publications,115.0
C861 R84l,Ediciones Revista ALEPH,116.0
843 H68p,"Alfaguara, S. A.",117.0
838.6 C16j,"Círculo de Lectores, S.A. - [!]DeBOLS!LLO",118.0
C863 E87s,"Aguilar, Altea, Taurus, Alfaguara, S. A.",119.0
082 Z15r,Unibiblos,120.0
537 G74i,"Prentice-Hall, Inc.",121.0
530.44 G17e,"Holt, Rinehart And WINSTON",122.0
861 R29c,Ediciones de la Exema,123.0
523.01 M25p,Gordon And Breach Science Publishers,124.0
C863 V42m,Universidad Pedagógica Nacional,125.0
813 B71f,Editorial Austral,126.0
811 W34c,Editorial Esquilo Ltda,127.0
C863 V25n,Editorial Manigraf,128.0
051 B17n,Centro de Publicaciones Unal - Manizales,129.0
511 M86i,Universidad Nacional de Colombia,130.0
511 A55i,McGraw-Hill Book Company,131.0
511 P46s,Addison-Wesley Publishing Company,132.0
070.8 L26p,"Editora Aguilar, Altea, Taurus, Alfaguara S.A.",133.0
863 C27d,"Alfaguara, S.A.",134.0
M864.01 P19h,"La Oveja Negra, Ltda.",135.0
M864 P19c,"Editorial Joaquín Mortiz, S. A.",136.0
843 C15e,Editorial Unión Ltda.,137.0
895.3 K19h,Emecé Editores S. A.,138.0
495.5 N43m,3A Corporation,139.0
531 G65m,"Editorial Reverté, S. A.",140.0
C864 R84c,Aleph,141.0
A868 S11e,Editorial Planeta S. A. I. C.,142.0
A863 S11s,"Espasa Calpe, S. A.",143.0
813 S13c,"Plaza & Janés Editores, S. A.",144.0
U861 B26i1,Editorial Planeta Colombiana S. A.,145.0
A863 P43r,Tercer Mundo Editores,146.0
803 T67a,"Oceano Grupo Editorial, S. A.",147.0
838.6 C16l,"Muchnik Editores, S. A.",148.0
531.4 H69s,Hombre Nuevo Editores E. U.,149.0
520 H19a,"Crítica, S. L.",150.0
539.4 C17t,"Editorial Sirio, S. A.",151.0
A864 S11e,Editorial Seix Barral,152.0
823 S32f,"Random House Mondadori, S. A. - [!]DeBOLS!LLO",153.0
920 P26g,"Editora Cinco, S.A.",154.0
A863 C67u,"Ediciones Destino, S. A.",155.0
328 D27l,Editorial Kinesis,156.0
539 L46a,Springer-Verlag Berlin Heidelberg,157.0
539 T16i,University Science Books,158.0
539.8 B11a,IoP,159.0
829.3 J69u,Random House Mondadori S. A.,160.0
539.7 J61q,North-Holland Physics Publishing,161.0
515.2 L21s,"Dover Publications, Inc.",162.0
804 V15l,Académie de la Latinité,163.0
C864 R84e,Página Maestra Editores Ltda.,164.0
853 E16p,"Random House Mondadori, S.A.  - [!]DeBOLS!LLO",165.0
438 C63a,"Larousse Editorial, S. L.",166.0
433 M67d,Ediciones Larousse S.A. de C.V.,167.0
823 O79r,"Ediciones Destino, S.A.",168.0
A863 S11a,"Editorial Seix Barral, S. A.",169.0
839.3 A62a,Grosset & Dunlap - Publishers,170.0
891.3 H68c,"Ediciones Salamandra, S. A.",171.0
838.4 C16m,Claassen eerlag GmbH,172.0
851 A54d1,"Centro Editor PDA, S. L.",173.0
M863 R29m,Universidad Pedagócica Nacional,174.0
838.4 C16c,"Fondo de Cultura Económica, S. A. de C. V.",175.0
Ch865 N27c,"Círculo de Lectores, S.A.",176.0
A865.4 B67a,"Editorial Crítica, S.L.",177.0
100 P65c - X,Editorial Nuevo Horizonte,178.0
A865.4 B67b - X,"Emecé Editores, S.A.",179.0
M863 C18f - X,Ediciones Selectas Diamante,180.0
891.3 P88 h,Editorial Prensa Moderna,181.0
C863 C61d,Al Revés,182.0
808 M47s,Editorial 'Cies' Vigo,183.0
861 A66 p,Alonso - Ediciones,184.0
292 G19d,Editoial Mateu,185.0
133 G27h,"Luis de caralt Editor, S.A.",186.0
